index,img_url,prod_url,price,5,4,3,2,1,SUM
235,https://images.meesho.com/images/products/103813907/b4k6h_400.webp,https://www.meesho.com/abhisarika-voguish-kurtis/p/1pt3bn,₹519,6,1,0,1,0,8
236,https://images.meesho.com/images/products/158861458/t6rst_400.webp,https://www.meesho.com/aagam-attractive-kurtis/p/2mkyaa,₹316,0,0,0,0,0,0
237,https://images.meesho.com/images/products/54661027/qfk10_400.webp,https://www.meesho.com/trendy-ensemble-kurtis/p/wjkpv,₹579,59,13,13,5,22,112
238,https://images.meesho.com/images/products/85855416/fxfml_400.webp,https://www.meesho.com/abhisarika-superior-kurtis/p/1f46go,₹489,18,5,5,4,13,45
239,https://images.meesho.com/images/products/172732948/n8rij_400.webp,https://www.meesho.com/kashvi-drishya-kurtis/p/2uu9lg,₹491,0,0,0,0,0,0
2310,https://images.meesho.com/images/products/185964689/v8q0n_400.webp,https://www.meesho.com/jivika-pretty-kurtis/p/32pv9t,₹464,41,26,9,8,11,95
2311,https://images.meesho.com/images/products/64980765/eiyvd_400.webp,https://www.meesho.com/adrika-pretty-kurtis/p/12orh9,₹541,19,12,8,5,6,50
2312,https://images.meesho.com/images/products/160389503/mtqrg_400.webp,https://www.meesho.com/aagyeyi-pretty-kurtis/p/2nhpbz,₹916,32,8,6,3,14,63
2313,https://images.meesho.com/images/products/186050848/hmwxa_400.webp,https://www.meesho.com/abhisarika-graceful-kurtis/p/32rpr4,₹293,12,3,2,1,2,20
2314,https://images.meesho.com/images/products/58522706/gxkdk_400.webp,https://www.meesho.com/aishani-pretty-kurtis/p/yuceq,₹480,27,5,2,3,13,50
2315,https://images.meesho.com/images/products/74711241/lv2e9_400.webp,https://www.meesho.com/trendy-sensational-kurtis/p/18hbk9,₹295,406,155,122,91,207,981
2316,https://images.meesho.com/images/products/195581793/td2jr_400.webp,https://www.meesho.com/myra-attractive-kurtis/p/38fzvl,₹455,0,0,0,0,0,0
2317,https://images.meesho.com/images/products/172543475/9qiea_400.webp,https://www.meesho.com/alisha-graceful-kurtis/p/2uq7eb,₹325,6,1,2,1,0,10
2318,https://images.meesho.com/images/products/119648134/92e87_400.webp,https://www.meesho.com/kashvi-pretty-kurtis/p/1z8h3a,₹322,0,0,0,0,0,0
2319,https://images.meesho.com/images/products/44168425/a0tkp_400.webp,https://www.meesho.com/alisha-voguish-kurtis/p/qaokp,₹581,51,19,11,7,13,101
2320,https://images.meesho.com/images/products/172527562/vwjwr_400.webp,https://www.meesho.com/myra-attractive-kurtis/p/2upv4a,₹399,18,2,4,3,5,32
241,https://images.meesho.com/images/products/59094314/vkbws_400.webp,https://www.meesho.com/adrika-superior-kurtis/p/z6lgq,₹656,140,58,26,28,51,303
242,https://images.meesho.com/images/products/49825709/ipxsi_400.webp,https://www.meesho.com/alisha-ensemble-kurtis/p/tnxrh,₹529,190,72,49,30,71,412
243,https://images.meesho.com/images/products/164003091/wippy_400.webp,https://www.meesho.com/adrika-petite-kurtis/p/2pn5lf,₹347,178,58,37,22,54,349
244,https://images.meesho.com/images/products/159880515/bzznf_400.webp,https://www.meesho.com/banita-voguish-kurtis/p/2n6slf,₹507,0,0,0,0,0,0
245,https://images.meesho.com/images/products/79788679/xcxrw_400.webp,https://www.meesho.com/aishani-voguish-kurtis/p/1bi5c7,₹577,3,0,1,1,2,7
246,https://images.meesho.com/images/products/196684919/rsh1c_400.webp,https://www.meesho.com/aishani-pretty-kurtis/p/393n1z,₹516,29,15,10,2,9,65
247,https://images.meesho.com/images/products/160382548/a5nqj_400.webp,https://www.meesho.com/kashvi-voguish-kurtis/p/2nhjys,₹389,15,4,4,3,6,32
248,https://images.meesho.com/images/products/24931287/f8387_400.webp,https://www.meesho.com/aishani-pretty-kurtis/p/eud3r,₹335,464,164,100,56,66,850
249,https://images.meesho.com/images/products/88748090/ganhy_400.webp,https://www.meesho.com/aagyeyi-attractive-kurtis/p/1gu6gq,₹476,245,103,50,22,40,460
2410,https://images.meesho.com/images/products/137387548/ndix4_400.webp,https://www.meesho.com/chitrarekha-voguish-kurtis/p/29sows,₹556,20,6,2,1,2,31
2411,https://images.meesho.com/images/products/180117320/yyqgs_400.webp,https://www.meesho.com/aishani-pretty-kurtis/p/2z8jew,₹440,5,0,0,1,2,8
2412,https://images.meesho.com/images/products/157054411/irg2l_400.webp,https://www.meesho.com/adrika-voguish-kurtis/p/2li7yj,₹503,175,69,55,46,72,417
2413,https://images.meesho.com/images/products/137307546/xo24u_400.webp,https://www.meesho.com/alisha-superior-kurtis/p/29qz6i,₹742,144,62,37,20,64,327
2414,https://images.meesho.com/images/products/143621912/6cbfv_400.webp,https://www.meesho.com/banita-graceful-kurtis/p/2dibdk,₹286,23,10,7,3,5,48
2415,https://images.meesho.com/images/products/41611613/qvjct_400.webp,https://www.meesho.com/adrika-voguish-kurtis/p/orvq5,"₹1,465",62,17,8,4,1,92
2416,https://images.meesho.com/images/products/146094343/vpfjq_400.webp,https://www.meesho.com/charvi-attractive-kurtis/p/2ezb47,₹476,138,40,34,34,60,306
2417,https://images.meesho.com/images/products/7737685/4be2f_400.webp,https://www.meesho.com/women-rayon-aline-chikankari-yellow-kurti/p/4lufp,₹542,281,113,89,50,135,668
2418,https://images.meesho.com/images/products/117733706/bjsc1_400.webp,https://www.meesho.com/adrika-fabulous-kurtis/p/1y3fwq,₹464,2,3,1,1,0,7
2419,https://images.meesho.com/images/products/160113787/3gwoj_400.webp,https://www.meesho.com/chitrarekha-sensational-kurtis/p/2nbsl7,₹502,15,5,1,1,6,28
